group,scenario,a_tag,linex_a,seed,train_run_id,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maintenance_run_id,maint_count,early_count,fail_count,total_cost,maintenance_utilization
G4,A_sigma_3,a_0p02,0.02,2,20260327_232144_477798,3.4473278522491455,2.6558213233947754,1446.4932861328125,-0.9154312014579773,0.3513203214695752,0.044393417527745886,0.0036356678147722926,5.510613441467285,9.920109272003174,20260328_080542_426291,160,17,38,954.0,1.0
G4,A_sigma_3,a_0p03,0.03,0,20260327_232257_226342,3.531024217605591,2.632296323776245,1515.8936767578125,-0.3322622776031494,0.4322617680826636,0.0642939150401837,0.006123230003827019,5.65050745010376,10.137835025787354,20260328_080542_564445,160,25,32,850.0,1.0
G4,A_sigma_3,a_0p03,0.03,1,20260327_232410_764250,3.431586742401123,2.604013442993164,1479.5875244140625,-0.40879568457603455,0.4070034443168771,0.060084194412552624,0.008036739380022962,5.7370758056640625,10.291714191436768,20260328_080542_701551,160,21,39,982.0,1.0
G4,A_sigma_3,a_0p03,0.03,2,20260327_232521_998044,3.4795567989349365,2.5918326377868652,1571.6968994140625,0.5890680551528931,0.5633371603520857,0.09050899349406812,0.008610792192881744,5.610729217529297,10.012389659881592,20260328_080542_844795,160,10,30,780.0,1.0
G4,A_sigma_3,a_0p04,0.04,0,20260327_232634_508100,3.683422803878784,2.793400526046753,1576.9217529296875,-0.6862083673477173,0.4048985840030616,0.05319556065824722,0.006697282816685802,5.700555801391602,10.208918571472168,20260328_080542_985189,160,14,37,928.0,1.0
G4,A_sigma_3,a_0p04,0.04,1,20260327_232746_646014,3.5764236450195312,2.751347780227661,1588.6419677734375,-0.19173961877822876,0.45484117872177576,0.07328740910830463,0.006314580941446613,5.761706829071045,10.263265609741211,20260328_080543_133737,160,10,30,780.0,1.0
G4,A_sigma_3,a_0p04,0.04,2,20260327_232858_817926,3.495274305343628,2.6889381408691406,1496.6380615234375,-0.6200370192527771,0.4016456180635285,0.0505166475315729,0.003827018752391887,5.593419075012207,10.023561477661133,20260328_080543_278374,160,38,30,836.0,1.0
G4,A_sigma_3,a_0p05,0.05,0,20260327_233012_223307,3.561279773712158,2.709256410598755,1534.65869140625,-0.5739209651947021,0.3922694221201684,0.06027554535017222,0.007845388442403367,5.706532001495361,10.26848840713501,20260328_080543_420176,160,9,30,778.0,1.0
G4,A_sigma_3,a_0p05,0.05,1,20260327_233123_951901,3.7265985012054443,2.9254305362701416,1580.887939453125,-1.3565316200256348,0.31305013394565634,0.041714504401071564,0.0028702640642939152,5.664168834686279,10.170878887176514,20260328_080543_562199,160,27,27,754.0,1.0
G4,A_sigma_3,a_0p05,0.05,2,20260327_233234_895801,3.435913324356079,2.6530120372772217,1508.083740234375,-0.30775147676467896,0.42479908151549944,0.0644852659778033,0.006505931879066207,5.70272970199585,10.144284725189209,20260328_080543_702916,160,31,38,982.0,1.0
G4,A_sigma_3,a_0p07,0.07,0,20260327_234004_887002,3.734687089920044,2.9375603199005127,1594.4739990234375,-1.218157410621643,0.34864140834290086,0.043436662839647915,0.0028702640642939152,5.569262504577637,10.031221866607666,20260328_080543_842494,160,29,37,958.0,1.0
